Id,Artist,Title,Wks,T10,PK,Pkstreams,Total,ReleaseDate,Popularity,Genre,Unique_Listener
74,Ruth B.,Dandelions,173,,34,"11,383,604","1,653,359,488",5/5/2017,85,"piano rock, pop rock, singer/songwriter",823651
75,Kendrick Lamar,Not Like Us,72,17,2,"73,078,518","1,660,197,735",5/4/2024,87,"2010s, 2020s, alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop, pop rap, rap, trap, west coast hip hop",1791319
76,Ed Sheeran,Photograph,307,,15,"11,105,681","1,654,552,631",6/21/2014,86,"dance-pop, folk, folk pop, guitarist, music for soccer moms, persian pop, pop, singer, singer-songwriter, soft rock, uk",1145569
77,Lil Nas X,INDUSTRY BABY,81,40,2,"53,085,371","1,632,867,564",7/23/2021,74,"2020s, hip hop, lgbtqi, pop rap, queer, relic inn, trap",67463
78,Cigarettes After Sex,Apocalypse,167,,62,"13,385,982","1,636,336,811",6/9/2017,89,"ambient, ambient pop, androgynous vocals, dream pop, ethereal, indie pop, indie rock, shoegaze, slowcore",1877495
79,Djo,End of Beginning,84,8,3,"54,716,193","1,635,508,733",9/16/2022,89,"bedroom pop, indie pop, indie rock, neo-psychedelia",1569002
80,Olivia Rodrigo,good 4 u,78,17,1,"84,131,760","1,618,703,681",5/21/2021,82,"2020s, folk pop, musical, pop, pop punk, pop rock, power pop, singer-songwriter",1681778
81,Adele,Easy On Me,114,22,1,"84,952,932","1,602,558,038",10/14/2021,78,"2010s, aln-sh, blue-eyed soul, blues-pop, neo soul, pop, pop soul, r&b, soul",1030395
82,Bad Bunny,Me Porto Bonito,81,27,2,"39,839,157","1,595,512,799",5/6/2022,81,"hip hop, latin, latin trap, reggaeton, trap latino",622072
83,Olivia Rodrigo,drivers license,98,16,1,"80,764,045","1,590,283,541",5/21/2021,85,classical crossover,1489957
84,Ariana Grande,we can't be friends (wait for your love),81,7,1,"60,418,741","1,600,899,469",3/8/2024,87,"contemporary r&b, dance-pop, pop, r&b, trap soul",1240598
85,Dua Lipa,Levitating,116,12,4,"30,358,414","1,576,155,950",3/27/2020,80,"alternative pop, boogie, contemporary r&b, dance-pop, dream pop, electropop, europop, funktronica, girlpower, house, house music, indie pop, left-field pop, nu disco, nuno, pop, synth-pop",1114066
86,Sabrina Carpenter,Please Please Please,66,19,1,"85,283,851","1,574,814,640",6/6/2024,79,"2020s, dance-pop, electropop, pop",1570014
87,Kendrick Lamar,All The Stars,119,10,2,"44,478,255","1,565,415,428",2/9/2018,90,"2010s, 2020s, alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop, pop rap, rap, trap, west coast hip hop",59759
88,Ariana Grande,7 rings,143,16,1,"71,467,874","1,547,429,518",2/8/2019,84,"contemporary r&b, dance-pop, pop, r&b, trap soul",1545684
89,Wham!,Last Christmas,78,29,2,"91,090,914","1,531,155,898",11/29/1984,74,"christmas music, dance-pop, pop, queer, synth-pop",1784494
90,XXXTENTACION,SAD!,163,12,1,"38,010,231","1,531,066,913",3/16/2018,79,"death by murder, emo rap, hip hop, rap, southern hip hop, trap, trap metal",1070775
91,SZA,Snooze,124,,27,"17,296,437","1,527,001,258",12/9/2022,86,"alternative r&b, american, contemporary r&b, electronic, hip hop soul, neo soul, pop, r&b",1416540
92,XXXTENTACION,Jocelyn Flores,217,2,7,"25,442,646","1,511,632,218",8/25/2017,78,"death by murder, emo rap, hip hop, rap, southern hip hop, trap, trap metal",1132039
93,Bruno Mars,That's What I Like,157,9,6,"23,602,385","1,520,422,827",11/17/2016,87,"2010s, funk, music for soccer moms, pop, r&b, relic inn, rock, soul",1613246
