id,artist,title,total,releasedate,unique_listener,year,recency,log_total,log_total_norm,unique_norm,recency_norm,songscore,genre,track_id,danceability,energy,valence,tempo,acousticness,loudness,speechiness,mode,duration_ms,unnamed: 24,explicit
352,Coolio,Gangsta's Paradise,687266625,11/7/1995,1562979,1995,0.625,20.34823288,0.807728242,0.408366382,0.625,65.13740358,"west coast hip hop, g-funk",1DIXPcTDzTj8ZMHt3PDt8p,0.647,0.514,0.386,79.975,0.0655,-10.05,0.0593,1,240693,,FALSE
353,Doja Cat,Say So,678877812,10/29/2024,1217833,2024,0.9875,20.33595172,0.806536386,0.318188457,0.9875,69.62247301,"pop rap, pop, rap, rock, power pop",3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,0.779,110.962,0.264,-4.583,0.159,0,237893,,TRUE
354,Drake,Toosie Slide,677398639,4/3/2020,610438,2020,0.9375,20.33377049,0.806324703,0.159491497,0.9375,63.85098006,rap,127QTOFJsJQp5LbJbu3A1y,0.689243243,0.604918919,0.395375676,119.947,0.194779649,-5.487,0.103137838,1,204280,,0
355,Dynoro,In My Mind,676704919,6/8/2018,505495,2018,0.9125,20.33274587,0.806225266,0.132072543,0.9125,62.52343963,edm,0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,0.163,125.905,0.176,-5.335,0.149,1,184560,,FALSE
356,Adele,Hello,674927785,5/17/2024,977168,2024,0.9875,20.33011626,0.805970069,0.255308776,0.9875,67.70776673,soft pop,1Yk0cQdMLx5RzzFTYwmuld,0.578,0.43,0.288,78.991,0.33,-6.134,0.0305,0,295502,,FALSE
357,Dua Lipa,Break My Heart,674770728,3/27/2020,1043476,2020,0.9375,20.32988353,0.805947483,0.27263338,0.9375,67.22637557,pop,017PF4Q3l4DBUiWoXk4OWT,0.73,0.729,0.467,113.011,0.167,-3.434,0.0884,0,221820,,FALSE
358,Clean Bandit,Rockabye,674373152,4/27/2018,25318,2018,0.9125,20.32929416,0.805890286,0.006614431,0.9125,58.74294722,"dance-pop, electronic, electropop, pop",2hrUO4drrO63i7FYbCLBl2,0.717,0.73,0.792,102.002,0.383,-4.729,0.0568,0,251173,,FALSE
359,Juice WRLD,Robbery,673474919,3/8/2019,648584,2019,0.925,20.32796131,0.805760937,0.169458082,0.925,63.87178932,"melodic rap, emo rap",6iaSML1PIYq936g62BDtBq,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
360,Jack Harlow,Lovin On Me,673465561,11/10/2023,644862,2023,0.975,20.32794742,0.805759589,0.168485618,0.975,64.84254796,"pop rap, rap",4xhsWYTOGcal8zt0J161CU,0.847,0.6875,0.5535,119.947,0.0991,-5.487,0.09655,1,204280,,0
361,Kenya Grace,Strangers,673225048,9/1/2023,824594,2023,0.975,20.32759023,0.805724924,0.215445046,0.975,66.24959759,pop,5mjYQaktjmjcMKcUIcqz4s,0.661145833,0.641541667,0.483291667,119.947,0.196785937,-5.487,0.09895625,1,204280,,0
