Id,Artist,Title,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Total,ReleaseDate,Unique_Listener,Year,Recency,log_Total,log_Total_norm,Unique_norm,Recency_norm,SongScore,MainGenre,Genre
1770,Polimá Westcoast,ULTRA SOLO REMIX,,,,,133879193,6/16/2022,90200,2022.0,0.9625,18.71244841,0.648979398,0.023566457,0.9625,52.40596361,Hip-Hop / Rap,"chilean trap, reggaeton chileno, chilean mambo"
1771,Trippie Redd,Miss The Rage,,,,,133872952,8/21/2021,515433,2021.0,0.95,18.7124018,0.648974874,0.134669092,0.95,55.48881643,Hip-Hop / Rap,melodic rap
1772,Becky G,Shower,,,,,133754216,4/23/2014,747706,2014.0,0.8625,18.71151447,0.648888761,0.195356155,0.8625,55.55512271,Latin,"reggaeton, latin"
1773,BANNERS,Someone To You,,,,,133590328,11/3/2017,505100,2017.0,0.9,18.71028843,0.648769776,0.13196934,0.9,54.39756902,Other,k-pop
1774,Niall Horan,This Town,,,,,133465169,10/20/2017,601529,2017.0,0.9,18.7093511,0.648678811,0.1571638,0.9,55.14885457,Pop,pop
1775,Taylor Swift,All Of The Girls You Loved Before,,,,,133453137,8/23/2019,643194,2019.0,0.925,18.70926095,0.648670062,0.168049812,0.925,55.97499745,Indie / Alternative,"pop, indie folk, pop rock, electropop, synth-pop"
1776,BLACKPINK,Lovesick Girls,,,,,133333407,10/2/2020,570636,2020.0,0.9375,18.70836338,0.648582955,0.14909224,0.9375,55.65191495,Pop,k-pop
1777,Olly Alexander (Years & Years),King,,,,,133115545,9/18/2020,296812,2020.0,0.9375,18.70672808,0.648424253,0.07754895,0.9375,53.49768117,Other,"alternative r&b, dance-pop, electropop, synth-pop, synthpop"
1778,Queen,Thank God It's Christmas - Non-Album Single,,,,,133033896,2/27/1984,138655,1984.0,0.4875,18.70611452,0.648364709,0.036226524,0.4875,43.25503116,Pop,"classic rock, rock, glam rock"
1779,Queen,Somebody To Love - Remastered 2011,,,,,132982997,12/10/1976,838958,1976.0,0.3875,18.70573184,0.648327571,0.219197996,0.3875,46.74231845,Pop,"classic rock, rock, glam rock"
1780,Olivia Rodrigo,enough for you,,,,,132980288,5/21/2021,845937,2021.0,0.95,18.70571147,0.648325594,0.221021433,0.95,58.04692269,Folk / Country,"folk pop, pop, pop punk, pop rock, power pop"
1781,Tove Lo,Stay High - Habits Remix,,,,,132875683,9/24/2014,438155,2014.0,0.8625,18.70492454,0.648249225,0.114478304,0.8625,53.09681034,Indie / Alternative,"contemporary r&b, dance-pop, alternative pop, pop, indie pop"
1782,V,Slow Dancing,,,,,132791421,10/26/2018,317320,2018.0,0.9125,18.7042902,0.648187663,0.082907172,0.9125,53.14659833,Pop,k-pop
1783,Bad Bunny,PERFuMITO NUEVO,,,,,132532392,1/5/2025,307118,2025.0,1.0,18.70233765,0.647998173,0.080241648,1.0,54.80715808,Hip-Hop / Rap,"reggaeton, trap latino, urbano latino, latin"
1784,P!nk,Cover Me In Sunshine,,,,,132526342,2/12/2021,157008,2021.0,0.95,18.702292,0.647993743,0.041021699,0.95,52.63033811,Pop,"pop, electropop, dance-pop, pop rock, contemporary r&b"
1785,AronChupa,I'm an Albatraoz,,,,,132335496,8/8/2014,406205,2014.0,0.8625,18.7008509,0.647853888,0.106130576,0.8625,52.82661167,Other,electro swing
1786,Big Shaq,Man's Not Hot,,,,,132292671,9/22/2017,206411,2017.0,0.9,18.70052724,0.647822477,0.053929454,0.9,52.00900748,Hip-Hop / Rap,k-pop
